trials_2.thisTrialN,trials_2.stepSize,trials_2.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrans,orrientation,key_resp.corr,trials_2.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,17.943442899999354,18.46230420000029,18.46230420000029,18.47126129999924,18.762496100000135,right,10.0,1,1,2.3655983000007836,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
1,2,8.0,20.841620799999873,21.336450900000273,21.336450900000273,21.343215499999133,21.64132679999966,right,8.0,1,1,0.651850000000195,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
2,2,6.0,22.000029999999242,22.495060699999158,22.495060699999158,22.502067100000204,22.79981079999925,right,6.0,1,1,0.5109809000005043,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
3,2,4.0,23.015000499999587,23.514835199999652,23.514835199999652,23.514835199999652,23.819742300000144,right,4.0,1,1,0.49503010000080394,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
4,2,2.0,24.020861299999524,24.520525799998723,24.520525799998723,24.520525799998723,24.825440999999046,left,-2.0,1,1,0.7408895999997185,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
5,2,1.0,25.269546899999114,25.769139500000165,25.769139500000165,25.769139500000165,26.07418879999932,right,1.0,1,1,1.1067698999995628,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
6,2,1.0,26.886043299999073,27.385403599999336,27.385403599999336,27.385403599999336,27.690812599999845,right,1.0,1,1,0.961741200002507,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
7,2,1.0,28.356743399999687,28.856064399999013,28.856064399999013,28.856064399999013,29.161253499998566,left,-1.0,1,1,0.9395427000017662,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
8,2,1.0,29.811514999999417,30.306570900000224,30.306570900000224,30.313283199999205,30.613789999999426,right,1.0,1,1,0.7559288000011293,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
9,2,1.0,31.07404879999922,31.568776099999013,31.568776099999013,31.575667499999327,31.873745699998835,right,1.0,1,1,1.4793077000013,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
10,2,1.0,33.060055199999624,33.55998869999894,33.55998869999894,33.55998869999894,33.867249699998865,left,-1.0,1,1,0.7414924000004248,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
11,2,1.0,34.308833799999775,34.809050699999716,34.809050699999716,34.809050699999716,35.11336929999925,right,1.0,0,0,0.7997186000011425,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
12,2,3.0,35.62509279999904,36.11950230000002,36.11950230000002,36.12638100000004,36.4245092000001,right,3.0,1,1,0.6322178000009444,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
13,2,3.0,36.76452459999928,37.257388699999865,37.257388699999865,37.26428769999984,37.56244799999877,left,-3.0,1,1,1.1714960000008432,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
14,1,3.0,38.44149229999857,38.93631379999897,38.93631379999897,38.94326960000035,39.241225300000224,right,3.0,1,1,0.64220639999985,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
15,1,2.0,39.58805129999928,40.087898799998584,40.087898799998584,40.087898799998584,40.39286869999887,left,-2.0,1,1,0.6643377000018518,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
16,1,2.0,40.76546379999854,41.2600642999987,41.2600642999987,41.26691000000028,41.56530380000004,right,2.0,1,1,1.141661400000885,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
17,1,2.0,42.41158019999966,42.911346400000184,42.911346400000184,42.911346400000184,43.21618699999999,right,2.0,1,1,1.2733762000007118,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
18,1,1.0,44.19439489999968,44.69388719999915,44.69388719999915,44.69388719999915,44.99911549999888,left,-1.0,1,1,1.990099000000555,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
19,1,1.0,46.696846099999675,47.19148829999904,47.19148829999904,47.19846069999949,47.49683619999996,right,1.0,1,1,2.031493500000579,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
20,1,1.0,49.23075969999991,49.73046599999907,49.73046599999907,49.73046599999907,50.035491399999955,left,-1.0,1,1,0.9364883000016562,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
