study_words,test_words,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
cushion,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
mitosis,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
sheet,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
vase,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
page,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
help,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
shade,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
bottle ,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
view,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
Sing,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
nose,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
wheelchair,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
bakery ,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
walk,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
convalescent ,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
library,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
wire,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
letter,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
scissor,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
panini ,,,,,,,,,,103,1,2023-10-05_16h06.17.375,word priming experiment,2023.1.3,144.0473858
