study_words,test_words,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
view,,0,0,0,36,,,,,17.12681529999827,17.12681529999827,5,2.3542078000027686,,,,,,,,,,,,,104,001,2023-10-05_16h18.52.976,word priming experiment,2023.1.3,145.12397940509823,
hamper,,0,1,1,46,,,,,19.47042510000756,19.47042510000756,5,0.9700224999978673,,,,,,,,,,,,,104,001,2023-10-05_16h18.52.976,word priming experiment,2023.1.3,145.12397940509823,
cushion,,0,2,2,3,,,,,20.456586700005573,20.456586700005573,5,0.9037545000028331,,,,,,,,,,,,,104,001,2023-10-05_16h18.52.976,word priming experiment,2023.1.3,145.12397940509823,
shade,,0,3,3,21,,,,,21.373862699998426,21.373862699998426,5,1.0477584000036586,,,,,,,,,,,,,104,001,2023-10-05_16h18.52.976,word priming experiment,2023.1.3,145.12397940509823,
walk,,0,4,4,16,,,,,22.433924099997967,22.433924099997967,5,1.1512676999991527,,,,,,,,,,,,,104,001,2023-10-05_16h18.52.976,word priming experiment,2023.1.3,145.12397940509823,
format,,0,5,5,32,,,,,23.59817940001085,23.59817940001085,5,1.016251299995929,,,,,,,,,,,,,104,001,2023-10-05_16h18.52.976,word priming experiment,2023.1.3,145.12397940509823,
bakery ,,0,6,6,13,,,,,24.62751040000876,24.62751040000876,5,1.1943923999933759,,,,,,,,,,,,,104,001,2023-10-05_16h18.52.976,word priming experiment,2023.1.3,145.12397940509823,
book,,0,7,7,2,,,,,25.833932699999423,25.833932699999423,5,1.286123800004134,,,,,,,,,,,,,104,001,2023-10-05_16h18.52.976,word priming experiment,2023.1.3,145.12397940509823,
paint,,0,8,8,14,,,,,27.13218610000331,27.13218610000331,5,1.4533551999920746,,,,,,,,,,,,,104,001,2023-10-05_16h18.52.976,word priming experiment,2023.1.3,145.12397940509823,
page,,0,9,9,26,,,,,28.598002200000337,28.598002200000337,5,1.4006833000021288,,,,,,,,,,,,,104,001,2023-10-05_16h18.52.976,word priming experiment,2023.1.3,145.12397940509823,
